"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"KIAA1549L",1,1,0,0,7,0,0,0,0,9,8,8
"LAMB4",0,0,0,0,9,0,0,0,0,9,8,8
"LRRC32",0,0,0,0,9,0,0,0,0,9,8,8
"MAP2",1,0,0,0,8,0,0,0,0,9,8,8
"MYH7",0,0,0,0,8,0,0,1,0,9,8,8
"NLGN4X",0,0,0,0,9,0,0,0,0,9,8,8
"NOTCH4",0,0,0,0,8,1,0,0,0,9,8,8
"OR2G6",0,0,0,0,6,3,0,0,0,9,8,8
"OR2L8",1,0,0,0,8,0,0,0,0,9,8,8
"PCDHA3",0,0,0,0,9,0,0,0,0,9,8,8
"PCDHA9",0,0,0,0,7,2,0,0,0,9,8,8
"PDZRN3",0,1,0,0,8,0,0,0,0,9,8,8
"POTEH",2,0,0,0,6,0,0,1,0,9,8,8
"SCN4A",0,0,0,0,9,0,0,0,0,9,8,8
"SNTG1",1,0,0,0,8,0,0,0,0,9,8,8
"TAS1R2",1,0,0,0,8,0,0,0,0,9,8,8
"TMTC1",2,0,0,0,7,0,0,0,0,9,8,8
"TRPM2",0,0,0,0,8,1,0,0,0,9,8,8
"UGT2B11",0,0,0,0,7,2,0,0,0,9,8,8
"CD163L1",0,0,0,0,7,1,0,0,0,8,8,8
"CDH20",0,0,0,0,8,0,0,0,0,8,8,8
"CENPF",0,0,0,0,6,2,0,0,0,8,8,8
"FAT1",0,0,0,0,8,0,0,0,0,8,8,8
"GABRG1",0,0,0,0,5,2,0,1,0,8,8,8
"GRIN2B",0,0,0,0,8,0,0,0,0,8,8,8
"HERC1",0,0,0,0,7,1,0,0,0,8,8,8
"KIF2B",0,0,0,0,8,0,0,0,0,8,8,8
"MAGEB4",0,0,0,0,6,2,0,0,0,8,8,8
"MASP1",1,0,0,0,7,0,0,0,0,8,8,8
"NPR3",1,0,0,0,7,0,0,0,0,8,8,8
"NRCAM",0,0,0,0,6,1,1,0,0,8,8,8
"OR14C36",0,0,0,0,7,1,0,0,0,8,8,8
"OR2T3",0,0,0,0,8,0,0,0,0,8,8,8
